t,z(t),v(t),F(t) (added)
12.00008,0.8385969,0.5532035,-83.8597
12.02009,0.8493256,0.5364316,-84.93256
12.04009,0.8597145,0.5194451,-85.97145
12.06009,0.8697595,0.5022509,-86.97595
12.08009,0.8794566,0.4848557,-87.94566
12.10009,0.888802,0.4672665,-88.8802
12.12009,0.8977918,0.4494905,-89.77918
12.14009,0.9064225,0.4315346,-90.64225
12.16009,0.9146906,0.4134062,-91.46906
12.18009,0.9225929,0.3951124,-92.25928
12.20009,0.9301261,0.3766605,-93.0126
12.22009,0.9372872,0.358058,-93.72872
12.24009,0.9440734,0.3393123,-94.40734
12.26009,0.9504821,0.3204308,-95.04821
12.28009,0.9565105,0.3014211,-95.65105
12.30009,0.9621563,0.2822909,-96.21563
12.32009,0.9674172,0.2630478,-96.74172
12.34009,0.9722912,0.2436995,-97.22913
12.36009,0.9767763,0.2242537,-97.67763
12.38009,0.9808707,0.2047181,-98.08707
12.40009,0.9845726,0.1851007,-98.45727
12.42009,0.9878808,0.1654093,-98.78809
12.44009,0.9907939,0.1456517,-99.07939
12.4601,0.9933106,0.1258358,-99.33105
12.4801,0.9954299,0.1059696,-99.54299
12.5001,0.9971511,0.08606096,-99.71511
12.5201,0.9984735,0.06611794,-99.84735
12.5401,0.9993965,0.04614847,-99.93965
12.5601,0.9999197,0.02616054,-99.99197
12.5801,1.000043,0.006162148,-100.0043
12.6001,0.9997661,-0.01383871,-99.97661
12.6201,0.9990894,-0.03383403,-99.90894
12.6401,0.9980131,-0.05381582,-99.80131
12.6601,0.9965376,-0.07377608,-99.65376
12.6801,0.9946634,-0.09370683,-99.46634
12.7001,0.9923914,-0.1136001,-99.23914
12.7201,0.9897224,-0.1334479,-98.97224
12.7401,0.9866576,-0.1532424,-98.66576
12.7601,0.983198,-0.1729755,-98.3198
12.7801,0.9793453,-0.1926395,-97.93452
12.8001,0.9751008,-0.2122264,-97.51008
12.8201,0.9704662,-0.2317284,-97.04662
12.8401,0.9654434,-0.2511377,-96.54434
12.8601,0.9600345,-0.2704466,-96.00345
12.88011,0.9542415,-0.2896473,-95.42415
12.90011,0.9480669,-0.3087321,-94.80669
12.92011,0.941513,-0.3276935,-94.1513
12.94011,0.9345825,-0.3465237,-93.45825
12.96011,0.9272782,-0.3652154,-92.72782
12.98011,0.919603,-0.383761,-91.9603
13.00011,0.9115599,-0.402153,-91.15599
13.02011,0.9031522,-0.4203842,-90.31522
13.04011,0.8943833,-0.4384472,-89.43833
13.06011,0.8852566,-0.4563349,-88.52566
13.08011,0.8757758,-0.47404,-87.57758
13.10011,0.8659447,-0.4915555,-86.59447
13.12011,0.8557672,-0.5088744,-85.57672
13.14011,0.8452474,-0.5259898,-84.52474
13.16011,0.8343895,-0.5428947,-83.43895
13.18011,0.8231978,-0.5595825,-82.31979
13.20011,0.8116769,-0.5760465,-81.16769
13.22011,0.7998313,-0.59228,-79.98313
13.24011,0.7876658,-0.6082767,-78.76658
13.26011,0.7751852,-0.62403,-77.51852
13.28011,0.7623945,-0.6395337,-76.23945
13.30011,0.7492989,-0.6547816,-74.92989
13.32012,0.7359035,-0.6697676,-73.59035
13.34012,0.7222138,-0.6844856,-72.22138
13.36012,0.7082352,-0.6989299,-70.82352
13.38012,0.6939733,-0.7130946,-69.39733
13.40012,0.6794338,-0.7269741,-67.94338
13.42012,0.6646225,-0.7405627,-66.46226
13.44012,0.6495454,-0.7538552,-64.95454
13.46012,0.6342085,-0.7668461,-63.42085
13.48012,0.6186179,-0.7795302,-61.86179
13.50012,0.6027799,-0.7919026,-60.27798
13.52012,0.5867007,-0.8039582,-58.67007
13.54012,0.5703868,-0.8156922,-57.03868
13.56012,0.5538448,-0.8270999,-55.38448
13.58012,0.5370813,-0.8381768,-53.70813
13.60012,0.5201029,-0.8489184,-52.01029
13.62012,0.5029165,-0.8593205,-50.29165
13.64012,0.4855289,-0.8693789,-48.55289
13.66012,0.4679472,-0.8790894,-46.79472
13.68012,0.4501782,-0.8884484,-45.01782
13.70012,0.4322291,-0.8974519,-43.22291
13.72012,0.4141072,-0.9060965,-41.41072
13.74012,0.3958196,-0.9143786,-39.58196
13.76013,0.3773737,-0.922295,-37.73737
13.78013,0.3587769,-0.9298425,-35.87769
13.80013,0.3400365,-0.9370181,-34.00365
13.82013,0.3211601,-0.9438188,-32.11601
13.84013,0.3021553,-0.950242,-30.21553
13.86013,0.2830296,-0.9562851,-28.30296
13.88013,0.2637907,-0.9619457,-26.37907
13.90013,0.2444462,-0.9672214,-24.44462
13.92013,0.225004,-0.9721104,-22.5004
13.94013,0.2054718,-0.9766105,-20.54718
13.96013,0.1858574,-0.9807199,-18.58574
13.98013,0.1661687,-0.984437,-16.61687
14.00013,0.1464135,-0.9877604,-14.64135
14.02013,0.1265997,-0.9906887,-12.65997
14.04013,0.1067353,-0.9932207,-10.67353
14.06013,0.08682816,-0.9953554,-8.682817
14.08013,0.06688633,-0.9970919,-6.688633
14.10013,0.04691774,-0.9984297,-4.691773
14.12013,0.02693038,-0.999368,-2.693038
14.14013,0.006932246,-0.9999066,-0.6932245
14.16013,-0.01306866,-1.000045,1.306866
14.18013,-0.03306434,-0.9997839,3.306434
14.20014,-0.05304679,-0.9991226,5.304678
14.22014,-0.07300802,-0.9980617,7.300802
14.24014,-0.09294005,-0.9966015,9.294004
14.26014,-0.1128349,-0.9947427,11.28349
14.28014,-0.1326846,-0.992486,13.26846
14.30014,-0.1524813,-0.9898323,15.24813
14.32014,-0.1722169,-0.9867827,17.22169
14.34014,-0.1918837,-0.9833384,19.18837
14.36014,-0.2114737,-0.9795007,21.14737
14.38014,-0.2309791,-0.9752712,23.09791
14.40014,-0.2503921,-0.9706516,25.03921
14.42014,-0.269705,-0.9656438,26.9705
14.44014,-0.28891,-0.9602497,28.891
14.46014,-0.3079995,-0.9544715,30.79995
14.48014,-0.3269657,-0.9483115,32.69657
14.50014,-0.3458011,-0.9417722,34.58012
14.52014,-0.3644983,-0.9348562,36.44983
14.54014,-0.3830496,-0.9275662,38.30496
14.56014,-0.4014477,-0.9199052,40.14477
14.58014,-0.4196852,-0.9118763,41.96852
14.60014,-0.4377549,-0.9034826,43.77549
14.62014,-0.4556494,-0.8947275,45.56494
14.64015,-0.4733617,-0.8856145,47.33617
14.66015,-0.4908846,-0.8761473,49.08846
14.68015,-0.5082112,-0.8663296,50.82112
14.70015,-0.5253345,-0.8561653,52.53345
14.72015,-0.5422477,-0.8456587,54.22477
14.74015,-0.5589439,-0.8348137,55.89439
14.76015,-0.5754166,-0.8236349,57.54166
14.78015,-0.5916591,-0.8121265,59.16591
14.80015,-0.607665,-0.8002933,60.7665
14.82015,-0.6234278,-0.78814,62.34278
14.84015,-0.6389412,-0.7756714,63.89412
14.86015,-0.6541991,-0.7628926,65.41991
14.88015,-0.6691952,-0.7498086,66.91953
14.90015,-0.6839237,-0.7364247,68.39237
14.92015,-0.6983786,-0.7227462,69.83786
14.94015,-0.7125542,-0.7087786,71.25542
14.96015,-0.7264448,-0.6945275,72.64448
14.98015,-0.7400448,-0.6799986,74.00448
15.00015,-0.7533487,-0.6651977,75.33487
15.02015,-0.7663513,-0.6501307,76.63513
15.04015,-0.7790474,-0.6348037,77.90474
15.06015,-0.7914319,-0.6192228,79.14319
15.08016,-0.8034998,-0.6033942,80.34998
15.10016,-0.8152462,-0.5873241,81.52462
15.12016,-0.8266666,-0.5710192,82.66666
15.14016,-0.8377563,-0.5544859,83.77563
15.16016,-0.848511,-0.5377308,84.8511
15.18016,-0.8589262,-0.5207606,85.89262
15.20016,-0.8689978,-0.5035821,86.89978
15.22016,-0.8787218,-0.4862021,87.87218
15.24016,-0.8880944,-0.4686277,88.80943
15.26016,-0.8971117,-0.4508658,89.71117
15.28016,-0.9057701,-0.4329236,90.57701
15.30016,-0.9140663,-0.4148082,91.40663
15.32016,-0.9219968,-0.3965268,92.19968
15.34016,-0.9295586,-0.3780869,92.95586
15.36016,-0.9367485,-0.3594957,93.67485
15.38016,-0.9435637,-0.3407607,94.35637
15.40016,-0.9500015,-0.3218895,95.00014
15.42016,-0.9560593,-0.3028894,95.60593
15.44016,-0.9617347,-0.2837683,96.17346
15.46016,-0.9670253,-0.2645336,96.70254
15.48016,-0.9719292,-0.2451931,97.19292
15.50016,-0.9764443,-0.2257545,97.64443
15.52017,-0.9805688,-0.2062256,98.05688
15.54017,-0.9843011,-0.1866142,98.43011
15.56017,-0.9876397,-0.1669282,98.76397
15.58017,-0.9905832,-0.1471754,99.05832
15.60017,-0.9931304,-0.1273638,99.31304
15.62017,-0.9952804,-0.1075012,99.52805
15.64017,-0.9970323,-0.08759555,99.70323
15.66017,-0.9983854,-0.06765491,99.83855
15.68017,-0.9993392,-0.0476872,99.93391
15.70017,-0.9998932,-0.02770041,99.98932
15.72017,-1.000047,-0.007702545,100.0047
15.74017,-0.9998012,0.0122984,99.98013
15.76017,-0.9991553,0.03229443,99.91553
15.78017,-0.9981098,0.05227754,99.81098
15.80017,-0.996665,0.07223973,99.6665
15.82017,-0.9948215,0.09217303,99.48215
15.84017,-0.9925802,0.1120695,99.25802
15.86017,-0.9899418,0.1319211,98.99418
15.88017,-0.9869074,0.1517199,98.69073
15.90017,-0.9834782,0.171458,98.34782
15.92017,-0.9796556,0.1911276,97.96556
15.94018,-0.9754412,0.2107207,97.54412
15.96018,-0.9708366,0.2302295,97.08366
15.98018,-0.9658437,0.2496463,96.58437
16.00018,-0.9604645,0.2689631,96.04645
16.02018,-0.954701,0.2881724,95.4701
16.04018,-0.9485556,0.3072664,94.85557
16.06018,-0.9420309,0.3262376,94.20309
16.08018,-0.9351293,0.3450782,93.51293
16.10018,-0.9278537,0.3637808,92.78537
16.12018,-0.920207,0.3823378,92.0207
16.14018,-0.9121921,0.400742,91.21921
16.16018,-0.9038124,0.4189858,90.38124
16.18018,-0.8950711,0.4370621,89.50712
16.20018,-0.8859719,0.4549635,88.59719
16.22018,-0.8765182,0.4726829,87.65182
16.24018,-0.866714,0.4902133,86.6714
16.26018,-0.856563,0.5075476,85.6563
16.28018,-0.8460695,0.5246788,84.60695
16.30018,-0.8352374,0.5416002,83.52374
16.32018,-0.8240713,0.558305,82.40714
16.34018,-0.8125756,0.5747864,81.25756
16.36018,-0.8007549,0.5910379,80.07549
16.38018,-0.7886139,0.607053,78.86139
16.40018,-0.7761574,0.6228253,77.61574
16.42019,-0.7633904,0.6383484,76.33904
16.44019,-0.7503181,0.6536162,75.03181
16.46019,-0.7369456,0.6686226,73.69456
16.48019,-0.7232784,0.6833615,72.32784
16.50019,-0.7093219,0.697827,70.93218
16.52019,-0.6950816,0.7120135,69.50816
16.54019,-0.6805633,0.7259151,68.05633
16.56019,-0.6657727,0.7395264,66.57727
16.58019,-0.6507159,0.7528418,65.07159
16.60019,-0.6353987,0.7658561,63.53988
16.62019,-0.6198274,0.7785641,61.98275
16.64019,-0.6040083,0.7909607,60.40083
16.66019,-0.5879474,0.8030409,58.79474
16.68019,-0.5716515,0.8147998,57.16515
16.70019,-0.5551268,0.8262328,55.51268
16.72019,-0.5383801,0.8373353,53.83801
16.74019,-0.521418,0.8481029,52.1418
16.76019,-0.5042474,0.8585313,50.42474
16.78019,-0.4868751,0.8686162,48.68751
16.80019,-0.469308,0.8783537,46.93081
16.82019,-0.4515533,0.8877399,45.15533
16.84019,-0.4336178,0.896771,43.36178
16.8602,-0.415509,0.9054433,41.5509
16.8802,-0.3972339,0.9137535,39.72339
16.9002,-0.3787999,0.9216982,37.87999
16.9202,-0.3602144,0.9292742,36.02144
16.9402,-0.3414849,0.9364785,34.14849
16.9602,-0.3226187,0.9433082,32.26187
16.9802,-0.3036235,0.9497606,30.36235
17.0002,-0.2845068,0.955833,28.45068
17.0202,-0.2652764,0.9615232,26.52764
17.0402,-0.2459398,0.9668287,24.59398
17.0602,-0.2265048,0.9717475,22.65048
17.0802,-0.2069793,0.9762776,20.69793
17.1002,-0.1873709,0.9804172,18.73709
17.1202,-0.1676877,0.9841646,16.76876
17.1402,-0.1479373,0.9875184,14.79373
17.1602,-0.1281277,0.9904771,12.81277
17.1802,-0.1082669,0.9930397,10.82669
17.2002,-0.08836284,0.995205,8.836285
17.2202,-0.0684234,0.9969723,6.84234
17.2402,-0.04845658,0.9983408,4.845658
17.2602,-0.02847039,0.9993099,2.847039
17.2802,-0.0084728,0.9998793,0.84728
17.30021,0.01152818,1.000049,-1.152817
17.32021,0.03152454,0.9998182,-3.152454
17.34021,0.05150829,0.9991877,-5.150829
17.36021,0.07147145,0.9981576,-7.147144
17.38021,0.091406,0.9967281,-9.1406
17.40021,0.111304,0.9949,-11.1304
17.42021,0.1311575,0.9926739,-13.11575
17.44021,0.1509585,0.9900508,-15.09585
17.46021,0.1706991,0.9870316,-17.06991
17.48021,0.1903715,0.9836177,-19.03715
17.50021,0.2099677,0.9798102,-20.99677
17.52021,0.2294799,0.9756109,-22.94799
17.54021,0.2489003,0.9710213,-24.89003
17.56021,0.2682212,0.9660433,-26.82212
17.58021,0.2874348,0.9606789,-28.74348
17.60021,0.3065334,0.9549302,-30.65334
17.62021,0.3255094,0.9487995,-32.55094
17.64021,0.3443552,0.9422893,-34.43552
17.66021,0.3630632,0.9354022,-36.30632
17.68021,0.3816261,0.9281409,-38.16261
17.70021,0.4000362,0.9205084,-40.00362
17.72021,0.4182864,0.9125077,-41.82864
17.74022,0.4363692,0.904142,-43.63692
17.76022,0.4542775,0.8954146,-45.42775
17.78022,0.4720041,0.8863291,-47.20041
17.80022,0.4895419,0.876889,-48.95419
17.82022,0.5068839,0.8670982,-50.68839
17.84022,0.5240231,0.8569605,-52.40231
17.86022,0.5409527,0.84648,-54.09527
17.88022,0.5576659,0.8356609,-55.76659
17.90022,0.574156,0.8245076,-57.4156
17.92022,0.5904166,0.8130245,-59.04166
17.94022,0.6064409,0.8012161,-60.64409
17.96022,0.6222227,0.7890873,-62.22227
17.98022,0.6377555,0.7766429,-63.77555
18.00022,0.6530333,0.7638878,-65.30333
18.02022,0.6680498,0.7508271,-66.80498
18.04022,0.6827992,0.7374661,-68.27991
18.06022,0.6972753,0.7238101,-69.72753
18.08022,0.7114726,0.7098646,-71.14726
18.10022,0.7253853,0.6956351,-72.53853
18.12022,0.7390078,0.6811274,-73.90078
18.14022,0.7523348,0.6663473,-75.23347
18.16022,0.7653608,0.6513005,-76.53608
18.18023,0.7780806,0.6359934,-77.80807
18.20023,0.7904893,0.6204317,-79.04893
18.22023,0.8025817,0.6046219,-80.25816
18.24023,0.814353,0.5885703,-81.4353
18.26023,0.8257987,0.5722833,-82.57987
18.28023,0.8369141,0.5557673,-83.69141
18.30023,0.8476946,0.539029,-84.76946
18.32023,0.8581361,0.5220751,-85.81361
18.34023,0.8682343,0.5049124,-86.82343
18.36023,0.8779853,0.4875477,-87.79853
18.38023,0.8873851,0.469988,-88.73851
18.40023,0.8964299,0.4522403,-89.64299
18.42023,0.9051161,0.4343117,-90.51161
18.44023,0.9134403,0.4162094,-91.34403
18.46023,0.9213992,0.3979406,-92.13992
18.48023,0.9289894,0.3795126,-92.89894
18.50023,0.9362081,0.3609328,-93.6208
18.52023,0.9430522,0.3422087,-94.30522
18.54023,0.9495192,0.3233476,-94.95192
18.56023,0.9556063,0.3043572,-95.56063
18.58023,0.9613112,0.2852451,-96.13112
18.60023,0.9666315,0.2660189,-96.66315
18.62024,0.9715652,0.2466863,-97.15652
18.64024,0.9761103,0.227255,-97.61103
18.66024,0.980265,0.2077328,-98.0265
18.68024,0.9840276,0.1881275,-98.40276
18.70024,0.9873965,0.1684469,-98.73965
18.72024,0.9903705,0.148699,-99.03705
18.74024,0.9929483,0.1288916,-99.29483
18.76024,0.9951289,0.1090326,-99.51289
18.78024,0.9969115,0.08913003,-99.69115
18.80024,0.9982954,0.0691918,-99.82954
18.82024,0.9992799,0.04922589,-99.92799
18.84024,0.9998646,0.0292403,-99.98647
18.86024,1.000049,0.009243006,-100.0049
18.88024,0.9998343,-0.01075798,-99.98343
18.90024,0.9992192,-0.03075466,-99.92192
18.92024,0.9982044,-0.05073904,-99.82044
18.94024,0.9967903,-0.07070313,-99.67903
18.96024,0.9949776,-0.09063894,-99.49776
18.98024,0.9927668,-0.1105385,-99.27668
19.00024,0.9901589,-0.1303938,-99.01589
19.02024,0.987155,-0.150197,-98.7155
19.04025,0.9837562,-0.1699401,-98.37562
19.06025,0.9799639,-0.1896152,-97.99639
19.08025,0.9757796,-0.2092145,-97.57796
19.10025,0.971205,-0.2287301,-97.1205
19.12025,0.9662419,-0.2481542,-96.62419
19.14025,0.9608923,-0.267479,-96.08923
19.16025,0.9551584,-0.2866969,-95.51584
19.18025,0.9490424,-0.3058,-94.90424
19.20025,0.9425468,-0.3247809,-94.25468
19.22025,0.9356741,-0.3436318,-93.56741
19.24025,0.9284272,-0.3623453,-92.84272
19.26025,0.920809,-0.3809138,-92.08089
19.28025,0.9128224,-0.39933,-91.28223
19.30025,0.9044706,-0.4175864,-90.44706
19.32025,0.8957571,-0.4356759,-89.57571
19.34025,0.8866853,-0.453591,-88.66853
19.36025,0.8772588,-0.4713247,-87.72588
19.38025,0.8674814,-0.4888698,-86.74814
19.40025,0.857357,-0.5062194,-85.73569
19.42025,0.8468896,-0.5233666,-84.68896
19.44025,0.8360835,-0.5403044,-83.60835
19.46025,0.824943,-0.557026,-82.4943
19.48026,0.8134725,-0.5735249,-81.34725
19.50026,0.8016766,-0.5897943,-80.16766
19.52026,0.7895601,-0.6058279,-78.95601
19.54026,0.7771277,-0.621619,-77.71277
19.56026,0.7643844,-0.6371616,-76.43845
19.58026,0.7513354,-0.6524493,-75.13354
19.60026,0.7379859,-0.667476,-73.79859
19.62026,0.7243412,-0.6822357,-72.43412
19.64026,0.7104068,-0.6967226,-71.04068
19.66026,0.6961882,-0.7109307,-69.61881
19.68026,0.6816911,-0.7248545,-68.16911
19.70026,0.6669213,-0.7384883,-66.69212
19.72026,0.6518847,-0.7518268,-65.18848
19.74026,0.6365874,-0.7648644,-63.65874
19.76026,0.6210355,-0.7775962,-62.10355
19.78026,0.6052352,-0.7900169,-60.52352
19.80026,0.5891927,-0.8021216,-58.91927
19.82026,0.5729147,-0.8139054,-57.29147
19.84026,0.5564074,-0.8253637,-55.64074
19.86026,0.5396776,-0.8364918,-53.96775
19.88026,0.5227318,-0.8472854,-52.27319
19.90026,0.505577,-0.85774,-50.5577
19.92027,0.48822,-0.8678516,-48.822
19.94027,0.4706677,-0.877616,-47.06677
19.96027,0.4529271,-0.8870293,-45.29271
19.98027,0.4350054,-0.8960879,-43.50054
20.00027,0.4169096,-0.904788,-41.69096
20.02027,0.3986471,-0.9131262,-39.86471
20.04027,0.3802251,-0.9210992,-38.02251
20.06027,0.361651,-0.9287037,-36.1651
20.08027,0.3429323,-0.9359367,-34.29323
20.10027,0.3240764,-0.9427953,-32.40764
20.12027,0.3050909,-0.9492769,-30.50909
20.14027,0.2859833,-0.9553787,-28.59833
20.16027,0.2667613,-0.9610983,-26.67613
20.18027,0.2474327,-0.9664335,-24.74327
20.20027,0.228005,-0.9713822,-22.8005
20.22027,0.2084862,-0.9759423,-20.84862
20.24027,0.1888839,-0.980112,-18.88839
20.26027,0.1692061,-0.9838897,-16.92061
20.28027,0.1494607,-0.9872738,-14.94607
20.30027,0.1296554,-0.990263,-12.96554
20.32027,0.1097983,-0.9928561,-10.97983
20.34027,0.08989726,-0.9950521,-8.989726
20.36028,0.06996026,-0.9968501,-6.996026
20.38028,0.04999527,-0.9982493,-4.999527
20.40028,0.03001029,-0.9992492,-3.001029
20.42028,0.0100133,-0.9998494,-1.00133
20.44028,-0.009987693,-1.00005,0.9987693
20.46028,-0.02998469,-0.99985,2.998469
20.48028,-0.0499697,-0.9992503,4.99697
20.50028,-0.06993471,-0.9982509,6.993471
20.52028,-0.08987176,-0.9968522,8.987176
20.54028,-0.1097729,-0.9950548,10.97729
20.56028,-0.12963,-0.9928593,12.963
20.58028,-0.1494354,-0.9902667,14.94354
20.60028,-0.1691809,-0.987278,16.91809
20.62028,-0.1888588,-0.9838943,18.88588
20.64028,-0.2084612,-0.9801172,20.84612
20.66028,-0.2279801,-0.975948,22.79801
20.68028,-0.2474079,-0.9713884,24.74079
20.70028,-0.2667367,-0.9664403,26.67367
20.72028,-0.2859588,-0.9611055,28.59588
20.74028,-0.3050665,-0.9553863,30.50665
20.76028,-0.3240522,-0.949285,32.40522
20.78028,-0.3429083,-0.942804,34.29083
20.80029,-0.3616272,-0.9359458,36.16272
20.82029,-0.3802015,-0.9287133,38.02015
20.84029,-0.3986237,-0.9211093,39.86237
20.86029,-0.4168864,-0.9131368,41.68864
20.88029,-0.4349824,-0.904799,43.49824
20.90029,-0.4529044,-0.8960994,45.29044
20.92029,-0.4706452,-0.8870413,47.06452
20.94029,-0.4881977,-0.8776284,48.81977
20.96029,-0.505555,-0.8678645,50.5555
20.98029,-0.5227101,-0.8577534,52.27101
21.00029,-0.539656,-0.8472992,53.9656
21.02029,-0.5563862,-0.8365061,55.63862
21.04029,-0.5728937,-0.8253784,57.28938
21.06029,-0.5891721,-0.8139205,58.91721
21.08029,-0.6052149,-0.8021371,60.52149
21.10029,-0.6210155,-0.7900328,62.10155
21.12029,-0.6365678,-0.7776125,63.65678
21.14029,-0.6518654,-0.7648811,65.18654
21.16029,-0.6669023,-0.7518438,66.69023
21.18029,-0.6816724,-0.7385058,68.16724
21.20029,-0.6961699,-0.7248724,69.61699
21.22029,-0.7103888,-0.7109489,71.03889
21.2403,-0.7243237,-0.6967412,72.43237
21.2603,-0.7379688,-0.6822547,73.79688
21.2803,-0.7513187,-0.6674953,75.13187
21.3003,-0.7643681,-0.6524689,76.43681
21.3203,-0.7771117,-0.6371816,77.71117
21.3403,-0.7895445,-0.6216394,78.95445
